,result
359,0
360,1
361,7
362,7
363,0
364,3
365,1
366,1
367,0
368,9
369,8
370,8
371,1
372,1
373,6
374,5
375,7
376,9
377,2
378,7
379,9
380,1
381,7
382,9
383,9
384,1
385,5
386,2
387,6
388,6
389,5
390,8
391,2
392,6
393,6
394,0
395,1
396,6
397,9
398,3
399,6
400,0
401,0
402,6
403,9
404,8
405,3
406,0
407,0
408,1
409,0
410,3
411,1
412,5
413,1
414,2
415,3
416,1
417,8
418,6
419,1
420,3
421,0
422,0
423,1
424,4
425,2
426,3
427,3
428,6
429,4
430,9
431,5
432,1
433,6
434,9
435,7
436,1
437,8
438,9
439,9
440,3
441,0
442,2
443,1
444,0
445,2
446,0
447,3
448,6
449,4
450,3
451,5
452,6
453,6
454,4
455,7
456,6
457,8
458,1
459,9
460,9
461,0
462,4
463,1
464,1
465,2
466,0
467,3
468,0
469,4
470,9
471,5
472,9
473,6
474,0
475,7
476,7
477,8
478,8
479,9
480,2
481,7
482,6
483,9
484,4
485,7
486,6
487,7
488,1
489,3
490,4
491,9
492,1
493,8
494,2
495,8
496,0
497,3
498,8
499,1
500,3
501,5
502,0
503,8
504,3
505,2
506,8
507,7
508,8
509,6
510,7
511,1
512,8
513,5
514,9
515,2
516,3
517,6
518,9
519,4
520,0
521,1
522,3
523,8
524,3
525,7
526,6
527,5
528,7
529,5
530,1
531,1
532,4
533,8
534,9
535,9
536,4
537,1
538,0
539,3
540,1
541,6
542,9
543,3
544,8
545,3
546,8
547,2
548,6
549,2
550,7
551,6
552,4
553,6
554,1
555,5
556,9
557,5
558,1
559,3
560,9
561,3
562,6
563,8
564,9
565,1
566,7
567,6
568,1
569,5
570,1
571,6
572,6
573,8
574,6
575,1
576,3
577,9
578,6
579,7
580,8
581,6
582,6
583,8
584,3
585,3
586,1
587,7
588,9
589,9
590,7
591,0
592,3
593,0
594,3
595,3
596,4
597,7
598,4
599,9
600,9
601,8
602,6
603,0
604,3
605,2
606,8
607,0
608,4
609,1
610,0
611,0
612,3
613,1
614,0
615,0
616,7
617,1
618,8
619,0
620,8
621,4
622,8
623,7
624,2
625,9
626,2
627,2
628,2
629,0
630,0
631,6
632,3
633,6
634,9
635,6
636,1
637,2
638,6
639,2
640,1
641,9
642,2
643,9
644,6
645,0
646,3
647,1
648,0
649,2
650,9
651,3
652,4
653,4
654,1
655,5
656,4
657,6
658,9
659,8
660,3
661,9
662,3
663,0
664,3
665,1
666,7
667,3
668,3
669,4
670,6
671,5
672,4
673,6
674,9
675,9
676,0
677,8
678,1
679,9
680,5
681,0
682,1
683,1
684,0
685,2
686,7
687,3
688,7
689,4
690,6
691,5
692,6
693,6
694,9
695,9
696,7
697,8
698,1
699,9
700,0
701,1
702,1
703,8
704,0
705,6
706,3
707,1
708,0
709,1
710,3
711,3
712,8
713,7
714,9
715,7
716,4
717,9
718,1
719,3
720,6
721,6
722,0
723,0
724,4
725,2
726,0
727,6
728,8
729,4
730,0
731,8
732,6
733,4
734,9
735,6
736,1
737,0
738,0
739,8
740,7
741,9
742,6
743,2
744,8
745,1
746,6
747,1
748,1
749,5
750,3
751,9
752,7
753,4
754,3
755,0
756,7
757,0
758,0
759,4
760,8
761,4
762,3
763,0
764,2
765,9
766,3
767,6
768,0
769,9
770,7
771,1
772,5
773,2
774,8
775,1
776,3
777,9
778,9
779,9
780,1
781,5
782,3
783,1
784,3
785,1
786,5
787,9
788,8
789,1
790,9
791,0
792,8
793,1
794,9
795,8
796,6
797,4
798,9
799,6
800,6
801,8
802,0
803,8
804,4
805,2
806,8
807,6
808,0
809,8
810,9
811,2
812,9
813,9
814,8
815,2
816,1
817,4
818,9
819,8
820,9
821,9
822,1
823,0
824,7
825,3
826,3
827,3
828,6
829,5
830,9
831,8
832,0
833,4
834,1
835,9
836,3
837,6
838,9
839,8
840,3
841,2
842,9
843,7
844,3
845,9
846,2
847,0
848,0
849,5
850,9
851,1
852,5
853,5
854,6
855,3
856,3
857,0
858,1
859,1
860,2
861,2
862,7
863,7
864,1
865,4
866,7
867,5
868,3
869,6
870,1
871,7
872,9
873,8
874,6
875,0
876,6
877,1
878,7
879,9
880,1
881,7
882,7
883,0
884,0
885,8
886,9
887,9
888,5
889,7
890,4
891,8
892,3
893,7
894,0
895,6
896,8
897,8
898,2
899,2
900,1
901,9
902,7
903,6
904,1
905,8
906,3
907,6
908,7
909,6
910,2
911,7
912,3
913,1
914,9
915,7
916,8
917,0
918,7
919,2
920,0
921,2
922,9
923,0
924,1
925,1
926,1
927,0
928,0
929,1
930,6
931,1
932,7
933,2
934,0
935,0
936,5
937,2
938,8
939,3
940,3
941,4
942,6
943,8
944,6
945,3
946,1
947,9
948,3
949,9
950,9
951,1
952,9
953,7
954,6
955,4
956,7
957,8
958,0
959,3
960,0
961,9
962,6
963,6
964,9
965,7
966,3
967,0
968,0
969,9
970,0
971,6
972,0
973,0
974,2
975,6
976,3
977,1
978,5
979,0
980,0
981,5
982,6
983,5
984,3
985,1
986,7
987,0
988,3
989,1
990,9
991,0
992,2
993,9
994,8
995,9
996,6
997,5
998,1
999,9
1000,8
1001,7
1002,4
1003,0
1004,0
1005,2
1006,3
1007,1
1008,6
1009,9
1010,4
1011,9
1012,0
1013,9
1014,2
1015,1
1016,9
1017,7
1018,0
1019,4
1020,1
1021,8
1022,1
1023,9
1024,8
1025,0
1026,8
1027,1
1028,7
1029,0
1030,1
1031,3
1032,3
1033,0
1034,8
1035,8
1036,9
1037,0
1038,0
1039,1
1040,1
1041,2
1042,8
1043,3
1044,3
1045,9
1046,3
1047,5
1048,8
1049,1
1050,0
1051,8
1052,0
1053,7
1054,7
1055,0
1056,9
1057,1
1058,8
1059,7
1060,1
1061,7
1062,0
1063,6
1064,6
1065,3
1066,0
1067,3
1068,8
1069,9
1070,9
1071,9
1072,0
1073,5
1074,1
1075,1
1076,3
1077,7
1078,1
1079,2
1080,3
1081,5
1082,2
1083,4
1084,1
1085,7
1086,6
1087,9
1088,2
1089,1
1090,4
1091,5
1092,7
1093,2
1094,9
1095,6
1096,6
1097,8
1098,4
1099,7
1100,4
1101,1
1102,6
1103,5
1104,6
1105,1
1106,3
1107,2
1108,9
1109,6
1110,9
1111,6
1112,1
1113,7
1114,9
1115,8
1116,1
1117,8
1118,9
1119,1
1120,4
1121,8
1122,8
1123,3
1124,9
1125,7
1126,6
1127,0
1128,0
1129,0
1130,0
1131,1
1132,3
1133,5
1134,3
1135,0
1136,3
1137,5
1138,1
1139,2
1140,2
1141,8
1142,8
1143,0
1144,8
1145,4
1146,6
1147,3
1148,9
1149,1
1150,3
1151,8
1152,4
1153,2
1154,3
1155,9
1156,3
1157,7
1158,0
1159,3
1160,6
1161,8
1162,3
1163,6
1164,0
1165,5
1166,4
1167,7
1168,0
1169,1
1170,2
1171,9
1172,0
1173,7
1174,7
1175,1
1176,1
1177,2
1178,4
1179,6
1180,9
1181,0
1182,3
1183,0
1184,8
1185,1
1186,4
1187,8
1188,1
1189,3
1190,8
1191,4
1192,9
1193,8
1194,9
1195,0
1196,2
1197,7
1198,9
1199,8
1200,9
1201,9
1202,6
1203,0
1204,4
1205,1
1206,6
1207,8
1208,9
1209,3
1210,9
1211,4
1212,6
1213,7
1214,3
1215,8
1216,0
1217,7
1218,3
1219,8
1220,6
1221,1
1222,1
1223,2
1224,6
1225,3
1226,8
1227,8
1228,8
1229,9
1230,6
1231,8
1232,9
1233,1
1234,1
1235,5
1236,7
1237,1
1238,8
1239,9
1240,1
1241,9
1242,0
1243,8
1244,3
1245,7
1246,5
1247,0
1248,9
1249,5
1250,3
1251,9
1252,9
1253,1
1254,0
1255,7
1256,9
1257,2
1258,9
1259,8
1260,5
1261,3
1262,2
1263,3
1264,9
1265,2
1266,2
1267,0
1268,6
1269,9
1270,1
1271,0
1272,0
1273,6
1274,9
1275,1
1276,3
1277,7
1278,1
1279,8
1280,4
1281,0
1282,9
1283,9
1284,7
1285,4
1286,0
1287,7
1288,3
1289,1
1290,8
1291,6
1292,1
1293,3
1294,6
1295,3
1296,4
1297,8
1298,6
1299,1
1300,9
1301,7
1302,3
1303,1
1304,1
1305,0
1306,7
1307,8
1308,1
1309,7
1310,9
1311,5
1312,9
1313,2
1314,7
1315,1
1316,8
1317,1
1318,0
1319,4
1320,8
1321,5
1322,3
1323,5
1324,1
1325,0
1326,2
1327,4
1328,8
1329,1
1330,1
1331,7
1332,3
1333,4
1334,7
1335,9
1336,3
1337,8
1338,0
1339,3
1340,7
1341,1
1342,6
1343,4
1344,2
1345,1
1346,4
1347,7
1348,7
1349,1
1350,7
1351,0
1352,7
1353,2
1354,0
1355,0
1356,8
1357,4
1358,0
1359,8
1360,2
1361,6
1362,7
1363,1
1364,0
1365,1
1366,4
1367,3
1368,6
1369,2
1370,2
1371,0
1372,6
1373,0
1374,3
1375,8
1376,8
1377,5
1378,0
1379,6
1380,7
1381,9
1382,5
1383,9
1384,7
1385,6
1386,7
1387,9
1388,7
1389,6
1390,8
1391,0
1392,2
1393,1
1394,2
1395,1
1396,3
1397,3
1398,6
1399,9
1400,9
1401,6
1402,1
1403,7
1404,1
1405,8
1406,1
1407,9
1408,2
1409,0
1410,1
1411,1
1412,3
1413,2
1414,1
1415,3
1416,9
1417,4
1418,7
1419,3
1420,7
1421,1
1422,3
1423,7
1424,1
1425,8
1426,4
1427,0
1428,2
1429,1
1430,9
1431,2
1432,2
1433,3
1434,6
1435,1
1436,8
1437,0
1438,4
1439,8
1440,1
1441,8
1442,4
1443,3
1444,3
1445,9
1446,7
1447,9
1448,9
1449,3
1450,3
1451,0
1452,6
1453,8
1454,1
1455,3
1456,6
1457,3
1458,0
1459,9
1460,6
1461,8
1462,0
1463,3
1464,9
1465,0
1466,6
1467,2
1468,9
1469,1
1470,7
1471,0
1472,1
1473,1
1474,9
1475,3
1476,1
1477,8
1478,9
1479,8
1480,0
1481,3
1482,5
1483,3
1484,2
1485,0
1486,2
1487,9
1488,8
1489,9
1490,6
1491,1
1492,9
1493,6
1494,7
1495,1
1496,1
1497,3
1498,1
1499,6
1500,2
1501,3
1502,9
1503,6
1504,6
1505,9
1506,0
1507,3
1508,3
1509,7
1510,3
1511,9
1512,8
1513,7
1514,3
1515,0
1516,6
1517,9
1518,1
1519,8
1520,1
1521,3
1522,6
1523,2
1524,1
1525,7
1526,4
1527,7
1528,1
1529,9
1530,1
1531,3
1532,1
1533,1
1534,7
1535,3
1536,1
1537,2
1538,9
1539,8
1540,3
1541,9
1542,1
1543,6
1544,5
1545,9
1546,3
1547,9
1548,0
1549,6
1550,8
1551,9
1552,0
1553,1
1554,3
1555,2
1556,3
1557,6
1558,1
1559,6
1560,4
1561,1
1562,6
1563,1
1564,0
1565,7
1566,0
1567,1
1568,7
1569,3
1570,9
1571,6
1572,1
1573,9
1574,1
1575,8
1576,2
1577,6
1578,4
1579,9
1580,6
1581,6
1582,3
1583,3
1584,3
1585,0
1586,8
1587,2
1588,1
1589,0
1590,3
1591,3
1592,3
1593,6
1594,0
1595,3
1596,6
1597,6
1598,6
1599,1
1600,3
1601,2
1602,9
1603,1
1604,8
1605,7
1606,7
1607,8
1608,7
1609,1
1610,7
1611,9
1612,1
1613,3
1614,2
1615,1
1616,7
1617,8
1618,3
1619,1
1620,3
1621,7
1622,1
1623,9
1624,1
1625,3
1626,3
1627,9
1628,1
1629,0
1630,1
1631,1
1632,1
1633,2
1634,3
1635,3
1636,8
1637,4
1638,6
1639,1
1640,3
1641,6
1642,8
1643,7
1644,7
1645,8
1646,2
1647,9
1648,0
1649,0
1650,1
1651,1
1652,4
1653,2
1654,2
1655,3
1656,1
1657,4
1658,1
1659,5
1660,3
1661,6
1662,6
1663,1
1664,0
1665,8
1666,3
1667,9
1668,1
1669,0
1670,3
1671,1
1672,3
1673,2
1674,3
1675,3
1676,9
1677,4
1678,3
1679,7
1680,9
1681,8
1682,8
1683,9
1684,6
1685,0
1686,7
1687,0
1688,2
1689,1
1690,9
1691,0
1692,3
1693,1
1694,7
1695,2
1696,1
1697,7
1698,3
1699,5
1700,6
1701,3
1702,9
1703,4
1704,8
1705,4
1706,3
1707,0
1708,0
1709,0
1710,0
1711,6
1712,8
1713,9
1714,9
1715,6
1716,1
1717,6
1718,6
1719,2
1720,1
1721,3
1722,9
1723,4
1724,6
1725,4
1726,9
1727,9
1728,0
1729,1
1730,7
1731,7
1732,1
1733,9
1734,4
1735,5
1736,2
1737,7
1738,0
1739,5
1740,3
1741,0
1742,9
1743,2
1744,6
1745,3
1746,1
1747,1
1748,1
1749,4
1750,8
1751,4
1752,1
1753,0
1754,7
1755,9
1756,9
1757,9
1758,1
1759,6
1760,2
1761,1
1762,3
1763,1
1764,1
1765,9
1766,3
1767,0
1768,1
1769,7
1770,7
1771,3
1772,2
1773,9
1774,9
1775,8
1776,3
1777,8
1778,3
1779,4
1780,2
1781,1
1782,2
1783,7
1784,3
1785,6
1786,0
1787,2
1788,1
1789,1
1790,6
1791,9
1792,2
1793,0
1794,3
1795,7
1796,6
1797,8
1798,9
1799,8
1800,3
1801,2
1802,8
1803,3
1804,4
1805,9
1806,1
1807,0
1808,9
1809,7
1810,8
1811,9
1812,9
1813,0
1814,8
1815,6
1816,0
1817,4
1818,2
1819,1
1820,8
1821,1
1822,9
1823,2
1824,8
1825,8
1826,4
1827,2
1828,1
1829,6
1830,0
1831,1
1832,9
1833,0
1834,1
1835,0
1836,1
1837,1
1838,1
1839,2
1840,8
1841,3
1842,3
1843,4
1844,8
1845,5
1846,0
1847,6
1848,8
1849,7
1850,1
1851,0
1852,7
1853,9
1854,4
1855,0
1856,3
1857,1
1858,0
1859,2
1860,1
1861,3
1862,3
1863,4
1864,4
1865,4
1866,7
1867,6
1868,6
1869,7
1870,1
1871,8
1872,8
1873,9
1874,0
1875,0
1876,1
1877,1
1878,3
1879,4
1880,6
1881,3
1882,0
1883,4
1884,3
1885,8
1886,3
1887,6
1888,3
1889,7
1890,9
1891,6
1892,0
1893,9
1894,0
1895,2
1896,1
1897,2
1898,1
1899,7
1900,3
1901,6
1902,3
1903,4
1904,9
1905,0
1906,7
1907,5
1908,8
1909,6
1910,1
1911,0
1912,1
1913,7
1914,4
1915,8
1916,2
1917,8
1918,8
1919,4
1920,3
1921,1
1922,9
1923,0
1924,3
1925,0
1926,0
1927,5
1928,8
1929,2
1930,0
1931,7
1932,0
1933,2
1934,0
1935,3
1936,9
1937,6
1938,1
1939,2
1940,9
1941,1
1942,2
1943,7
1944,0
1945,7
1946,9
1947,9
1948,0
1949,9
1950,7
1951,1
1952,9
1953,2
1954,0
1955,4
1956,8
1957,6
1958,4
1959,7
1960,2
1961,7
1962,6
1963,5
1964,8
1965,4
1966,3
1967,5
1968,6
1969,0
1970,6
1971,1
1972,1
1973,1
1974,4
1975,9
1976,3
1977,9
1978,0
1979,0
1980,3
1981,0
1982,3
1983,2
1984,9
1985,0
1986,0
1987,3
1988,8
1989,5
1990,6
1991,6
1992,7
1993,1
1994,9
1995,6
1996,1
1997,6
1998,3
1999,4
2000,0
2001,6
2002,2
2003,0
2004,6
2005,9
2006,4
2007,2
2008,8
2009,0
2010,3
2011,4
2012,1
2013,3
2014,3
2015,9
2016,0
2017,3
2018,3
2019,0
2020,7
2021,0
2022,3
2023,5
2024,2
2025,2
2026,4
2027,8
2028,0
2029,6
2030,9
2031,6
2032,1
2033,6
2034,6
2035,9
2036,9
2037,4
2038,1
2039,3
2040,1
2041,4
2042,6
2043,2
2044,7
2045,0
2046,0
2047,8
2048,3
2049,7
2050,0
2051,1
2052,3
2053,1
2054,3
2055,3
2056,5
2057,6
2058,2
2059,9
2060,9
2061,4
2062,8
2063,1
2064,6
2065,3
2066,9
2067,8
2068,7
2069,7
2070,1
2071,6
2072,6
2073,9
2074,6
2075,3
2076,6
2077,3
2078,2
2079,7
2080,1
2081,4
2082,0
2083,1
2084,7
2085,9
2086,4
2087,1
2088,0
2089,0
2090,9
2091,6
2092,1
2093,0
2094,3
2095,1
2096,0
2097,1
2098,0
2099,3
2100,6
2101,4
2102,2
2103,3
2104,7
2105,6
2106,1
2107,7
2108,0
2109,8
2110,8
2111,9
2112,1
2113,0
2114,9
2115,3
2116,0
2117,4
2118,3
2119,5
2120,7
2121,6
2122,5
2123,7
2124,1
2125,8
2126,9
2127,9
2128,3
2129,0
2130,1
2131,1
2132,8
2133,2
2134,0
2135,3
2136,8
2137,7
2138,7
2139,8
2140,6
2141,9
2142,7
2143,7
2144,9
2145,6
2146,6
2147,6
2148,3
2149,6
2150,6
2151,6
2152,7
2153,6
2154,6
2155,9
2156,1
2157,0
2158,0
2159,0
2160,1
2161,1
2162,1
2163,3
2164,3
2165,9
2166,1
2167,7
2168,7
2169,3
2170,7
2171,8
2172,0
2173,5
2174,9
2175,8
2176,1
2177,1
2178,9
2179,4
2180,1
2181,8
2182,7
2183,5
2184,3
2185,1
2186,7
2187,0
2188,3
2189,1
2190,6
2191,6
2192,3
2193,0
2194,1
2195,3
2196,1
2197,8
2198,7
2199,9
2200,9
2201,2
2202,9
2203,1
2204,2
2205,7
2206,6
2207,4
2208,9
2209,5
2210,8
2211,2
2212,2
2213,8
2214,9
2215,4
2216,2
2217,7
2218,1
2219,1
2220,9
2221,8
2222,1
2223,0
2224,6
2225,6
2226,3
2227,3
2228,7
2229,2
2230,3
2231,9
2232,7
2233,0
2234,0
2235,6
2236,3
2237,7
2238,9
2239,4
2240,4
2241,0
2242,8
2243,9
2244,9
2245,5
2246,3
2247,0
2248,1
2249,0
2250,0
2251,2
2252,9
2253,0
2254,1
2255,1
2256,7
2257,2
2258,1
2259,3
2260,5
2261,4
2262,6
2263,5
2264,3
2265,0
2266,4
2267,7
2268,0
2269,8
2270,4
2271,9
2272,0
2273,0
2274,0
2275,1
2276,9
2277,2
2278,4
2279,3
2280,7
2281,4
2282,6
2283,1
2284,0
2285,8
2286,7
2287,7
2288,0
2289,0
2290,6
2291,1
2292,2
2293,2
2294,0
2295,3
2296,1
2297,8
2298,9
2299,8
2300,8
2301,8
2302,7
2303,8
2304,0
2305,6
2306,8
2307,5
2308,9
2309,0
2310,8
2311,6
2312,6
2313,8
2314,0
2315,9
2316,9
2317,4
2318,9
2319,1
2320,0
2321,9
2322,9
2323,0
2324,8
2325,4
2326,6
2327,8
2328,6
2329,9
2330,1
2331,1
2332,1
2333,4
2334,2
2335,0
2336,6
2337,5
2338,3
2339,1
2340,8
2341,9
2342,2
2343,0
2344,4
2345,7
2346,4
2347,0
2348,1
2349,0
2350,3
2351,1
2352,6
2353,7
2354,0
2355,0
2356,9
2357,6
2358,9
2359,8
2360,3
2361,7
2362,7
2363,9
2364,7
2365,8
2366,1
2367,6
2368,0
2369,0
2370,4
2371,8
2372,1
2373,1
2374,2
2375,7
2376,6
2377,7
2378,3
2379,1
2380,4
2381,3
2382,1
2383,1
2384,6
2385,0
2386,8
2387,0
2388,1
2389,7
2390,7
2391,8
2392,5
2393,9
2394,1
2395,3
2396,7
2397,8
2398,6
2399,4
2400,4
2401,7
2402,1
2403,2
2404,9
2405,9
2406,3
2407,6
2408,9
2409,9
2410,6
2411,2
2412,4
2413,2
2414,5
2415,4
2416,9
2417,0
2418,1
2419,5
2420,6
2421,5
2422,1
2423,1
2424,9
2425,3
2426,5
2427,2
2428,1
2429,7
2430,1
2431,8
2432,8
2433,2
2434,8
2435,2
2436,7
2437,7
2438,9
2439,9
2440,9
2441,8
2442,9
2443,4
2444,7
2445,1
2446,2
2447,6
2448,9
2449,6
2450,1
2451,1
2452,1
2453,2
2454,6
2455,3
2456,1
2457,4
2458,6
2459,1
2460,2
2461,6
2462,6
2463,7
2464,1
2465,8
2466,4
2467,9
2468,9
2469,0
2470,1
2471,1
2472,0
2473,2
2474,2
2475,3
2476,7
2477,4
2478,6
2479,5
2480,1
2481,6
2482,8
2483,7
2484,9
2485,8
2486,1
2487,9
2488,0
2489,0
2490,2
2491,1
2492,9
2493,2
2494,3
2495,4
2496,8
2497,6
2498,3
2499,9
2500,6
2501,8
2502,7
2503,9
2504,9
2505,3
2506,1
2507,8
2508,4
2509,0
2510,9
2511,7
2512,1
2513,1
2514,9
2515,0
2516,7
2517,7
2518,9
2519,5
2520,3
2521,5
2522,3
2523,6
2524,3
2525,9
2526,6
2527,0
2528,3
2529,1
2530,1
2531,0
2532,6
2533,0
2534,4
2535,8
2536,8
2537,3
2538,1
2539,4
2540,0
2541,3
2542,1
2543,1
2544,3
2545,0
2546,6
2547,9
2548,5
2549,5
2550,1
2551,3
2552,6
2553,4
2554,3
2555,9
2556,9
2557,3
2558,9
2559,7
2560,9
2561,6
2562,7
2563,9
2564,2
2565,2
2566,7
2567,4
2568,3
2569,5
2570,4
2571,7
2572,7
2573,2
2574,1
2575,1
2576,7
2577,6
2578,1
2579,4
2580,4
2581,9
2582,3
2583,4
2584,0
2585,9
2586,0
2587,4
2588,1
2589,1
2590,6
2591,2
2592,9
2593,2
2594,7
2595,1
2596,7
2597,3
2598,2
2599,2
2600,9
2601,9
2602,1
2603,4
2604,9
2605,3
2606,3
2607,8
2608,9
2609,2
2610,1
2611,2
2612,0
2613,2
2614,2
2615,1
2616,7
2617,3
2618,8
2619,8
2620,9
2621,6
2622,9
2623,5
2624,9
2625,1
2626,9
2627,6
2628,6
2629,7
2630,9
2631,2
2632,2
2633,1
2634,4
2635,3
2636,6
2637,9
2638,2
2639,3
2640,3
2641,9
2642,5
2643,3
2644,4
2645,9
2646,3
2647,9
2648,1
2649,5
2650,4
2651,7
2652,1
2653,0
2654,9
2655,7
2656,3
2657,9
2658,6
2659,8
2660,1
2661,9
2662,8
2663,8
2664,1
2665,7
2666,8
2667,6
2668,3
2669,9
2670,8
2671,9
2672,3
2673,4
2674,9
2675,8
2676,4
2677,4
2678,8
2679,1
2680,0
2681,0
2682,0
2683,6
2684,3
2685,6
2686,8
2687,0
2688,6
2689,1
2690,2
2691,0
2692,6
2693,9
2694,8
2695,6
2696,4
2697,6
2698,7
2699,7
2700,0
2701,8
2702,7
2703,0
2704,1
2705,1
2706,4
2707,2
2708,3
2709,9
2710,3
2711,4
2712,6
2713,5
2714,0
2715,6
2716,3
2717,7
2718,7
2719,6
2720,6
2721,9
2722,8
2723,0
2724,0
2725,1
2726,6
2727,2
2728,3
2729,7
2730,6
2731,1
2732,8
2733,6
2734,5
2735,7
2736,9
2737,4
2738,1
2739,0
2740,8
2741,7
2742,2
2743,2
2744,3
2745,9
2746,8
2747,9
2748,5
2749,2
2750,9
2751,9
2752,2
2753,1
2754,0
2755,4
2756,3
2757,5
2758,7
2759,1
2760,1
2761,8
2762,3
2763,0
2764,8
2765,1
2766,5
2767,5
2768,4
2769,4
2770,6
2771,8
2772,9
2773,8
2774,6
2775,9
2776,9
2777,6
2778,1
2779,5
2780,3
2781,1
2782,8
2783,7
2784,2
2785,8
2786,1
2787,4
2788,0
2789,5
2790,1
2791,7
2792,6
2793,2
2794,3
2795,8
2796,9
2797,6
2798,7
2799,1
2800,3
2801,7
2802,9
2803,7
2804,7
2805,7
2806,1
2807,6
2808,3
2809,0
2810,2
2811,1
2812,0
2813,0
2814,6
2815,1
2816,0
2817,6
2818,3
2819,5
2820,6
2821,9
2822,6
2823,1
2824,3
2825,4
2826,2
2827,7
2828,7
2829,6
2830,3
2831,2
2832,9
2833,6
2834,1
2835,1
2836,1
2837,9
2838,0
2839,1
2840,4
2841,2
2842,4
2843,8
2844,6
2845,9
2846,6
2847,9
2848,0
2849,7
2850,6
2851,9
2852,1
2853,7
2854,9
2855,0
2856,9
2857,9
2858,1
2859,1
2860,6
2861,7
2862,6
2863,6
2864,2
2865,9
2866,1
2867,1
2868,6
2869,4
2870,6
2871,1
2872,4
2873,1
2874,4
2875,9
2876,9
2877,0
2878,3
2879,9
2880,3
2881,6
2882,3
2883,8
2884,3
2885,0
2886,7
2887,9
2888,3
2889,8
2890,4
2891,1
2892,3
2893,3
2894,0
2895,8
2896,0
2897,0
2898,8
2899,9
2900,9
2901,0
2902,9
2903,1
2904,2
2905,2
2906,4
2907,3
2908,6
2909,3
2910,7
2911,6
2912,0
2913,7
2914,9
2915,8
2916,1
2917,0
2918,9
2919,1
2920,9
2921,2
2922,1
2923,3
2924,6
2925,4
2926,6
2927,8
2928,8
2929,6
2930,9
2931,7
2932,0
2933,8
2934,1
2935,0
2936,3
2937,1
2938,5
2939,2
2940,6
2941,3
2942,6
2943,9
2944,4
2945,8
2946,3
2947,6
2948,3
2949,7
2950,4
2951,8
2952,2
2953,9
2954,0
2955,8
2956,4
2957,3
2958,3
2959,7
2960,2
2961,0
2962,4
2963,1
2964,4
2965,7
2966,7
2967,3
2968,9
2969,0
2970,1
2971,9
2972,2
2973,4
2974,6
2975,8
2976,3
2977,2
2978,0
2979,0
2980,7
2981,6
2982,0
2983,2
2984,1
2985,1
2986,3
2987,1
2988,3
2989,1
2990,7
2991,7
2992,1
2993,2
2994,6
2995,4
2996,9
2997,2
